id,nome,jogo_id,pais_id
172,AKAHO Himawari,5,25
173,AKGUL Taha,9,54
174,AKGUN Omer,15,54
175,AKHAIMOVA Liliia,3,33
176,AKHMADIEV Ildar,12,75
177,AKHMETOVA Tatyana,9,23
178,AKHTAR Muhammad Khalil,15,76
179,AKIMENKO Mikhail,12,33
180,AKINRADEWO Foluke,37,12
181,AKINYI Elizabeth,21,64
182,AKKUS Mihrac,14,54
183,AKMAL Nurul,22,22
184,AKMATALIEV Ernazar,9,77
185,AKMENS Roberts,34,78
186,AKOZ Simge Sebnem,37,54
187,AKTAS Ugur,8,54
188,AL ADAWI Issa Samir Hamed,7,79
189,AL AHRACH Ali,38,30
190,AL ALAWI Mazoon,12,79
191,AL FAIHAN Abdulrahman,15,80
192,AL HARTHI Barakat,12,79
193,AL KHAFAJI Mohammed,4,81
194,AL KHATRI Hamed,15,79
195,AL MANWARI Bashair Obaid,12,13
196,AL OBAIDI Aker,9,82
197,AL RASHEDI Mansour,15,80
198,AL RUMAIHI Mohammed,15,13
199,AL YAARI Ahmed,12,83
200,AL YASSIN Mazen Moutan,12,19
201,AL-KAABI Fatimah Abbas Waheeb,15,81
202,AL-KANJARI Amur Salim Ramadhan,22,79
203,AL-OBAIDLY Abdulaziz,7,13
204,AL-RAIMI Yasameen,15,83
205,AL-SADEQ Julyana,18,41
206,AL-WIR Amro,7,41
207,AL-YAMANI Mokhtar,7,83
208,ALAKHVERDOVI Sakhil,21,39
209,ALAMIAN Nima,16,8
210,ALARIE Elissa,36,27
211,ALARZA Fernando,30,3
212,ALBA CASTILLO Rafael Yunier,18,84
213,ALBARRACIN Matias,38,85
214,ALBAWARDI Zaid,17,19
215,ALBAYRAK Vedat,14,54
216,ALBERS Felice,27,10
217,ALBERTARRIO Agustina,27,85
218,ALBICY Andrew,5,5
219,ALBRECHT Samuel,26,53
220,ALBRIKAN Feras,17,19
221,ALBUKHARI Amin,17,19
222,ALDABBAGH Yasmeen,12,19
223,ALDASS Sanda,14,82
224,ALDAWSARI Khalifah,17,19
225,ALDAWSARI Salem,17,19
226,ALDERSEY Olympia,4,11
227,ALEGRE BIOSCA David,27,3
228,ALEKSANDROVA Ekaterina,39,33
229,ALEKSANYAN Artur,9,65
230,ALEKSIC Maja,37,86
231,ALEKSIC Milan,32,86
232,ALEKSIIVA Maryna,13,87
233,ALEKSIIVA Vladyslava,13,87
234,ALEMANNO Maria Grazia,22,4
235,ALEMU Habitam,12,26
236,ALESSIO Simone,18,4
237,ALEXANDER Kayla,5,27
238,ALEXANDRI Anna-Maria,13,31
239,ALEXANDRI Eirini,13,31
240,ALEXIUSSON Agnes,21,55
241,ALEXUC CIURARIU Alin,9,50
242,ALFADHEL Abdulrahman,4,80
243,ALFARAJ Salman,17,19
244,ALFONSO DOMINGUEZ Loren Berto,21,9
245,ALGHANNAM Khalid,17,19
246,ALGOTSSON OSTHOLT Sara,38,55
247,ALHAMDDAN Abdullah,17,19
248,ALHASSAN Ali,17,19
249,ALHASSANE Ismael,14,88
250,ALHINDAWI Odai Riyad Adel,21,41
251,ALHUMAYD Mahmoud Mohammed S,22,19
252,ALI Ali Merza,6,24
253,ALI Hasan,6,24
254,ALI Mohamed,6,24
255,ALI Mohamed,6,24
256,ALI MOHAMED Souhra,12,89
257,ALI Ramla Said Ahmed,21,90
258,ALI Selin,15,91
259,ALI ZADA Masomah,2,82
260,ALIEV Mourad,21,5
261,ALIKAJ Ahmad,14,82
262,ALIMURADOVA Laman,10,9
263,ALINE,17,53
264,ALIPOV Alexey,15,33
265,ALIREZA Husein,4,19
266,ALIYEV Haji,9,9
267,ALIZADEH Dara,4,92
268,ALIZADEH ZENOORIN Kimia,18,82
269,ALKANA Antonio,12,37
270,ALKASBEH Obada Mohammad Mustafa,21,41
271,ALKHADRAWI Ali,16,19
272,ALKHULAIF Ayman,17,19
273,ALLEMAND Julie,5,15
274,ALLEN Bec,5,11
275,ALLEN Bertram,38,93
276,ALLEN Devon,12,12
277,ALLEN Nathon,12,94
278,ALLEN Nick,11,12
279,ALLICOCK Keevin,21,38
280,ALLIKVEE Martin,7,95
281,ALLMAN Valarie,12,12
282,ALMADA Thiago,17,85
283,ALMANZA Rose Mary,12,84
284,ALMAQABI Ahmed,6,24
285,ALMAS Deniz,12,20
286,ALMATROOSHI Yousuf,7,96
287,ALMAYA Haimro,12,97
288,ALMEIDA Joao,2,40
289,ALMEIDA Teresa,6,60
290,ALMOSAWI Sayed Mohammed,8,80
291,ALMUTAIRI Saeid,15,19
292,ALNAJI Sami,17,19
293,ALOMRAN Nasser,17,19
294,ALONSO Agostina,27,85
295,ALONSO Alejandra,4,98
296,ALONSO Alejandro,27,3
297,ALONSO Luana,7,98
298,ALOTHMANI Ala,15,46
299,ALQAHTANI Tahani,14,19
300,ALRASHIDI Abdullah,15,80
301,ALRASHIDI Talal,15,80
302,ALRUBAIE Mohammed,17,19
303,ALSALEEM Seraj Abdulrahim M,22,19
304,ALSAMAHIJI Hasan,6,24
305,ALSHAHRANI Yasser,17,19
306,ALSHAMMARI Mudhawi,12,80
307,ALTAYEV Altay,32,23
308,ALTENBURG Lisa,27,20
309,ALTENHUBER Louisa,4,31
310,ALTHEMAN Maria Suelen,14,53
311,ALTO Gaston,16,85
312,ALTUHAYFAN Hamad,17,19
313,ALTUKHOV Pavlo,34,87
314,ALVARADO Luciana,3,99
315,ALVARADO Roberto,17,47
316,ALVAREZ Anita,13,12
317,ALVAREZ AZNAR Eduardo,38,3
318,ALVAREZ Dario,11,100
319,ALVAREZ Eddy,11,12
320,ALVAREZ Jorge,15,84
321,ALVAREZ Jorge,17,101
322,ALVAREZ Lazaro,21,84
323,ALVAREZ Luis,23,47
324,ALVAREZ PIEDRAHITA Estefania,13,48
325,ALVAREZ Santiago,36,85
326,ALVES Dani,17,53
327,ALVES LOPES Marcia,10,102
328,ALWADI Mohammad,21,41
329,ALY ELKAMASH Marwan,7,14
330,ALYOUHA Yaqoub,12,80
331,ALZIGKOUZI KOMINEA Maria Elli Lela,13,103
332,ALZINI Martina,40,4
333,AMADOR Andrey,2,99
334,AMAISTROAIE Madalina,23,50
335,AMANKUL Abilkhan,21,23
336,AMARE Girmaw,12,97
337,AMARIS Cesar,4,104
338,AMB Kim,12,55
339,AMBAKA Willy,36,64
340,AMBALA Atuhaire Ogola,7,105
341,AMBROCIO GREIFO Pool Edinson,9,106
342,AMDOUNI Morhad,12,5
343,AMES David,27,56
344,AMHA Selam,2,26
345,AMIALIUSIK Alena,2,107
346,AMIHERE Laeticia,5,27
347,AMINE Myles Nazem,9,108
348,AMIRI Nadiem,17,20
349,AMIT,21,43
350,AMOAH Christian,22,109
351,AMOAH Joseph Paul,12,109
352,AMOE-TARRANT Charisma,22,11
353,AMONDE Andrew,36,64
354,AMORES CARUA Jhonatan Javier,12,110
355,AMORIM TALESKA Eduarda,6,53
356,AMOROS Emile,26,5
357,AMOS Nijel,12,111
358,AMRI Marwa,9,46
359,AMUKAMARA Promise,5,45
360,AMUSAN Tobi,12,45
361,AN Baul,14,112
362,AN Changrim,14,112
363,AN Heji,5,112
364,AN Hyejin,37,112
365,AN San,23,112
366,AN Sehyeon,7,112
367,AN Seulki,12,112
368,AN Seyoung,20,112
369,ANA Andreea Beatrice,9,50
370,ANACAN Andrea,8,113
371,ANAGNOSTOPOULOU Chrysoula,12,103
372,ANAGOZ Yasemin,23,54
373,ANANI Kwadjo,14,109
374,ANASTASAKIS Michail,12,103
375,ANASTASSIOU Lucie,15,5
376,ANCER Abraham,41,47
377,ANDERSEN Brooke,12,12
378,ANDERSON Andy,42,27
379,ANDERSON Britany,12,94
380,ANDERSON Doneisha,12,114
381,ANDERSON Haley,29,12
382,ANDERSON Lachlan,36,11
383,ANDERSON Matthew,37,12
384,ANDERSON Shae,12,12
385,ANDERSON Yvonne,5,86
386,ANDERSSON Jonna,17,55
387,ANDERSSON Lasse,6,115
388,ANDIA Mary Luz,12,106
389,ANDINO Kolohe,33,12
390,ANDISON Bailey,7,27
391,ANDO Elreen Ann,22,116
392,ANDO Yuka,12,25
393,ANDOH Mikiko,22,25
394,ANDRADE Jordin,12,102
395,ANDRADE Rebeca,3,53
396,ANDRE Angelica,29,40
397,ANDRE Sylvain,35,5
398,ANDRE Thiago,12,53
399,ANDREEV Bozhidar Dimitrov,22,91
400,ANDREEVA Iuliia,12,77
401,ANDREJCZYK Maria,12,51
402,ANDREOLI Tatiana,23,4
403,ANDRESSA,17,53
404,ANDRESSINHA,17,53
405,ANDREW Joshter,14,117
406,ANDREW Michael,7,12
407,ANDREWS Abby,32,11
408,ANDREWS Ellesse,40,113
409,ANDREWS-NAHU Kanah,22,113
410,ANDRIANTSITOHAINA Eric Herman,22,118
411,ANDRIANTSITOHAINA Tojonirina Alain,22,118
412,ANDRODIAS Matthieu,4,5
413,ANDRULYTE Viktorija,26,58
414,ANDRUSENKO Veronika,7,33
415,ANDUJAR Pablo,39,3
416,ANESTOR Sabiana,14,119
417,ANGELA Ramsey,12,10
418,ANGELDAL Filippa,17,55
419,ANGHEL Roxana,4,50
420,ANGULO Jesus,17,47
421,ANGULO Ricardo,17,47
422,ANGULO Yuliana,12,110
423,ANGYAL Daniel,32,57
424,ANKUDINOFF Ashlee,40,11
425,ANNE Mame-Ibra,12,5
426,ANNEN Jolanda,30,36
427,ANOSHKIN Roman,34,33
428,ANSAH Owen,12,20
429,ANSAH Sarfo,12,109
430,ANSAH-PEPRAH Lucas,12,20
431,ANSELL Liam Paul,27,56
432,ANSHU Anshu,9,43
433,ANSLEY Giselle,27,56
434,ANTILL Caleb,4,11
435,ANTOGNELLI Quentin,4,62
436,ANTOMARCHI Kaliema,14,84
437,ANTON Elizabeth,17,113
438,ANTONIA FERREIRA Jaqueline,22,53
439,ANTONIOU Kalia,7,44
440,ANTONIOU Nikolas,7,44
441,ANTONOVA Nataliia,40,33
442,ANTONSEN Anders,20,115
443,ANTONY Alex,12,43
444,ANTONY,17,53
445,ANTOSOVA Lenka,4,120
446,ANTUNA Uriel,17,47
447,ANTUNOVIC Andela,7,121
448,ANVEGARD Anna,17,55
449,ANWARI Fahim,7,122
450,ANYANACHO Elizabeth Oluchi,18,45
451,ANZANI Simone,37,4
452,AOKI Chika,19,25
453,AOKI Masumi,12,25
454,AOKI Reona,7,25
455,AOKI Ryoma,12,25
456,AOKI Yukito,42,25
457,AOYAGI Koyo,11,25
458,AOYAMA Hanae,12,25
459,AOYAMA Shuko,39,25
460,APAK Esref,12,54
461,APETZ Nadine,21,20
462,APITHY Bolade,19,5
463,APOLONIA Tiago,16,40
464,APOSTALON Anika,7,120
465,APPEL CHEUICHE Marcio,38,53
466,APPEL Max,4,20
467,APPLE Zach,7,12
468,APRAHAMIAN Alain,14,123
469,AQUILLA Adelaide,12,12
470,AQUINO Rckaela Maree Ramos,9,117
471,AR RASYID Muhd Noor Firdaus,12,67
472,ARADILLAS Stefania,11,47
473,ARAFI Rababe,12,30
474,ARAGA Ryutaro,8,25
475,ARAI Atsushi,32,25
476,ARAI Matsuri,24,25
477,ARAKAKI Maria Eduarda,10,53
478,ARAKAWA Ryuta,4,25
479,ARAKI Erika,37,25
480,ARAKI Kenta,32,25
481,ARAKJI Nada,7,13
482,ARANA Guilherme,17,53
483,ARANCINI Zoe,32,11
484,ARANDA Nathalee,12,124
485,ARANGO ESTRADA Monica,13,48
486,ARASHIRO Yukiya,2,25
487,ARATHOON PACAS Enrique Jose,26,49
488,ARAUJO Larissa,6,53
489,ARAYA Karen,17,6
490,ARBE Joaquin,12,85
491,ARCANJO Geisa,12,53
492,ARCE Daniel,12,3
493,ARCEO Mariana,43,47
494,ARCHIBALD Emanuel,12,38
495,ARCILA HURTADO Isabella,7,48
496,ARCOS POVEDA Paula,6,3
497,AREGAWI Berihu,12,26
498,AREIA Antonio,6,40
499,ARENAS Julio,12,3
500,ARENAS Sandra Lorena,12,48
501,ARENDSE Kurt-Lee,36,37
502,ARENHART Barbara,6,53
503,AREVALO ALCON Alberto,24,3
504,AREVALO Carlos,34,3
505,AREVALO Eider,12,48
506,AREVALO Samantha,29,110
507,ARFT Caroline,34,20
508,ARGYROPOULOS KANAKAKIS Stylianos,32,103
509,ARIAS CASTANEDA Yeni Marcela,21,48
510,ARIAS GUZMAN Luis Antonio,37,104
511,ARICAN Ferhat,3,54
512,ARIKAN Okyanus,26,54
513,ARIKAN Polat Kemboi,12,54
514,ARIOTO Valerie,11,12
515,ARISTARKHOV Anton,15,33
516,ARISTOTELI Alexandra,10,11
517,ARIZA Oscar,24,104
518,ARKANIA Gogita,8,39
519,ARMANTO Lizzie,42,125
520,ARMIT Elle,32,11
521,ARMSTRONG Emily,13,27
522,ARMSTRONG Joseph,7,12
523,ARNAUS Adri,41,3
524,ARNDT Nikias,2,20
525,ARNOLD Mackenzie,17,11
526,ARNOLD Maximilian,17,20
527,AROP Marco,12,27
528,ARREGUI Brian Agustin,21,85
529,ARREY SOPHINA Ayuk Otay,14,126
530,ARROYO Andres,12,59
531,ARROYO Jarod,7,59
532,ARSIC Jovana,4,86
533,ARTACHO del SOLAR Mariafe,25,11
534,ARTAMONOV Mikhail,18,33
535,ARTENI Florin,4,50
536,ARTINGSTALL Karriss,21,56
537,ARTYMATA Eleni,12,44
538,ARTYUKH Danil,32,23
539,ARUNA Quadri,16,45
540,ARUNOVIC Zorana,15,86
541,ARZANI Daniel,17,11
542,GINTING Anthony Sinisuka,20,22
543,ASAAD Man,22,127
544,ASADAUSKAITE Laura,43,58
545,ASADOV Elchin,2,9
546,ASAI Yu,27,25
547,ASAMURA Hideto,11,25
548,ASANAU Dzmitry,21,107
549,ASANO Sakiyo,27,25
550,ASENCIO Jairo,11,100
551,ASENOV Daniel Panev,21,91
552,ASGREEN Kasper,2,115
553,ASHBY Madison,36,11
554,ASHER-SMITH Dina,12,56
555,ASHIKAWA Urara,3,25
556,ASHLEY Whitney,12,12
557,ASHMAWY Maggy,15,14
558,ASHOK Aditi,41,43
559,ASHOUR Emam,17,14
560,ASHRAM Linoy,10,97
561,ASIL Adem,3,54
562,ASKEROV Aleksandr,26,33
563,ASLAN Yigit,7,54
564,ASLANYAN Karen,9,65
565,ASLLANI Kosovare,17,55
566,ASP Yndiara,42,53
567,ASPANDIYAROVA Dina,15,11
568,ASSADILOV Darkhan,8,23
569,ASSAGHIR Mohamed,21,30
570,ASSAKALOV Rustam,9,21
571,ASSAR Omar,16,14
572,ASSELAH Sonia,14,74
573,ASTRUP Kim,20,115
574,ATATOU Wided,12,5
575,ATAYEV Merdan,7,128
576,ATCHO Sarah,12,36
577,ATIENO Camilla,36,64
578,ATKIN Sam,12,56
579,ATKINS Ariel,5,12
580,ATKINSON Alia,7,94
581,ATKINSON Nathaniel,17,11
582,ATLI Suleyman,9,54
583,ATRINAGHARCHI Reza,9,8
584,ATSU Jonathan,7,5
585,ATSUMI Mana,11,25
586,AU Hoi Shun Stephanie,7,129
587,AUBAKIROV Miras,32,23
588,AUBOECK Felix,7,31
589,AUBRY David,29,5
590,AUDA Patrik,5,120
591,AUDINET Manon,26,5
592,AUFFARTH Sandra,38,20
593,AUGER-ALIASSIME Felix,39,27
594,AUGUSTYN Rafal,12,51
595,AULAR SANABRIA Orluis Alberto,2,104
596,AUSTIN Tyler,11,12
597,AVANCINI Henrique,44,53
598,AVERINA Arina,10,33
599,AVERINA Dina,10,33
600,AVILA MANCIA Julimar,7,101
601,AVILA RAMIREZ Keyla Paola,18,101
602,AVILA SEGURA Ceiber David,21,48
603,AVOLA Giorgio,19,4
604,AWANG Mohd Azizulhasni,40,16
605,AWITI ALCARAZ Prisca,14,47
606,AXELSEN Viktor,20,115
607,AYACHE Alexandre,38,5
608,AYALA Derlys,12,98
609,AYDEMIR AKYOL Naz,37,54
610,AYIM Miranda,5,27
611,AYIVON Claire,4,130
612,AYOUNI Abdessalem,12,46
613,AZAAD Julian Amado,25,85
614,AZAMATI-KWAKU Benjamin,12,109
615,AZEMIA Ned,12,131
616,AZEVEDO Ana Carolina,12,53
617,AZEVEDO Catia,12,40
618,AZEVEDO Joao,15,40
619,AZHIKANOV Nurkanat,8,23
620,AZISBEKOV Atabek,9,77
621,AZIZOVA Farida,18,9
622,AZUERO Domenica,35,110
623,AZUMA Rio,19,25
624,AZUMA Sera,19,25
625,AZURMENDI Clara,20,3
626,B. Sai Praneeth,20,43
627,BA Houleye,12,32
628,BAALLA Youness,21,30
629,BAATARKHUYAG Otgonbold,23,132
