id,nome,nome_anteriorjogo_id,pais_id,event_id
106,FATOVIC Elvis,ARNOLD Graham,32,11,0
107,FAVAREL Pablo,ABE Katsuhiko,5,104,0
108,FEDIUSHYNA Tetiana,ALEKNO Vladimir,13,87,3
109,FERRARO Hernan,ABE Junya,37,85,15
110,FISH Nathan,AL SAADI Kais,11,97,14
111,FLOWERS Tairia,ALAMEDA Lonni,11,12,0
112,FOIREST Laurent,ABE Katsuhiko,5,5,3
113,FORREST Scott,AGEBA Yuya,36,56,2
114,FRIDAY Mike,ANDONOVSKI Vlatko,36,12,7
115,FUENTES Andrea,ANDONOVSKI Vlatko,13,12,0
116,FUERBRINGER Matthew,ABE Junya,37,12,7
117,FUJIKI Mayuko,ALLER CARBALLO Manuel Angel,13,3,8
118,FUJIKI Mayuko,ALEKNO Vladimir,13,3,3
119,FULI Saiasi,AGEBA Yuya,36,136,2
120,GADEMAN Pasha,AIKMAN Siegfried Gottlieb,27,27,3
121,GAIDUKOV Aleksandr,ALEKSEEV Alexey,32,33,15
122,GARCIA HERRERA Manuel,ALAMEDA Lonni,11,100,0
123,GARCIA Nestor,ABE Katsuhiko,5,100,7
124,GARCIA PIZARRO Paula,ALEKNO Vladimir,13,48,3
125,GARNIER Valerie,ABE Katsuhiko,5,5,3
126,GERHARDSSON Peter,ABDELMAGID Wael,17,55,2
127,GIACOBBE Antonio,ABE Junya,37,46,7
128,GIALLOMBARDO Patrizia,BASSO Paola,13,4,8
129,GIALLOMBARDO Patrizia,AGEBA Yuya,13,4,2
130,GILLE Guillaume,AGEBA Yuya,6,5,2
131,GINZBURG Ronen,ABE Katsuhiko,5,120,2
132,GISLASON Alfred,AGEBA Yuya,6,20,2
133,GOJKOVIC Vladimir,AGEBA Yuya,32,121,2
134,GOMEZ CORA Santiago,BABER Gareth Colin,36,85,0
135,GONZALEZ Anibal,ABDELMAGID Wael,17,47,0
136,GONZALEZ JARENO Angel,ABE Katsuhiko,5,3,2
137,GOORJIAN Brian,ABE Katsuhiko,5,11,0
138,GORDO MANSILLA Juan David,ABDELMAGID Wael,17,3,0
139,GRAINGER Adam,AIKMAN Siegfried Gottlieb,27,93,0
140,GRAUPERA Cristina,BASSO Paola,13,103,0
141,GRAZIOSI Gianluca,ABE Junya,37,4,0
142,GRESKOWIAK Arne,ABE Katsuhiko,5,20,8
143,GRYZUNOVA Elena,ALEKSEEV Alexey,13,33,0
144,GUERRERO LOPEZ Julen,ABDELMAGID Wael,17,3,14
145,GUERRERO Rolando,AL SAADI Kais,11,47,14
146,GUERRERO Rolando,ALAMEDA Lonni,11,47,3
147,GUIDETTI Giovanni,ABE Junya,37,54,0
148,GUILLEN Ronald,ABE Katsuhiko,5,104,3
149,GUIMARAES Jose Roberto,ABE Junya,37,53,3
150,GUSTAVSSON Tony,ABDELMAGID Wael,17,11,3
151,HAGER Mark,AGEBA Yuya,27,56,2
152,HAIDARA Soualiho,ABDELMAGID Wael,17,70,0
153,HALD Simon,ALEKSEEV Alexey,6,115,0
154,HALKETT Rhett,AIKMAN Siegfried Gottlieb,27,10,0
155,HAM Darvin de,ABE Katsuhiko,5,45,0
156,HARDY William,ABE Katsuhiko,5,12,14
157,HARROW Laing,ALAMEDA Lonni,11,11,0
158,HARVEY Laura,ABDELMAGID Wael,17,12,3
159,HAVENGA Arno,AGEBA Yuya,32,10,2
160,HAY Danny,ABDELMAGID Wael,17,113,0
161,HEM Thon Ponloeu,AGEBA Yuya,13,197,2
162,HENKEL Claas,AGEBA Yuya,27,20,2
163,HENNING Andre,AIKMAN Siegfried Gottlieb,27,27,3
164,HERGEIRSSON Thorir,ALEKSEEV Alexey,6,2,0
165,HERNANDEZ FRAILE Jose Ignacio,ABE Katsuhiko,5,3,2
166,HERNANDEZ Sergio,ABE Katsuhiko,5,85,2
167,HEYNEN Vital,ABE Junya,37,51,0
168,HIROSE Norikazu,ABDELMAGID Wael,17,25,2
169,HOAG Glenn,ABE Junya,37,27,0
170,HOLANEK Zoltan,ALEKNO Vladimir,6,57,3
171,HOVASSE Thomas Wayne,ABE Junya,5,25,0
172,HUGHES Daniel,ABE Katsuhiko,5,12,3
173,HUGHLEY JR Otis,ABE Katsuhiko,5,45,0
174,IMURA Masayo,ABE Junya,13,25,2
175,IWABUCHI Kensuke,ABE Junya,36,25,2
176,JACOBSEN Nikolaj,AGEBA Yuya,6,115,2
177,JARDINE Andre,ABDELMAGID Wael,17,53,7
178,JAUMA CAYUELA Esther,ANNAN Alyson,13,10,0
179,JENNINGS Dee,AIKMAN Siegfried Gottlieb,27,11,0
180,JEROME Essapa,ABDELMAGID Wael,17,70,3
181,JIA Xiuquan,ABDELMAGID Wael,17,72,0
182,JIMENEZ NIETO Cecilia,ALLER CARBALLO Manuel Angel,13,3,0
183,JOHNSON Vickie,ABE Katsuhiko,5,12,14
184,JONES Chris,AL SAADI Kais,11,27,14
185,JONES Nathan,ALAMEDA Lonni,11,11,0
186,KAISER Pierre,ABE Katsuhiko,5,15,15
187,KANEKO Makoto,ABE Junya,11,25,3
188,KANG Jae Won,ALEKSEEV Alexey,6,112,0
189,KANUNGO Bergin,ABDELMAGID Wael,17,137,0
190,KAWASE Asaki,ABDELMAGID Wael,17,25,0
191,KAZAMA Takafumi,ABDELMAGID Wael,17,25,3
192,KELLER Florian,AGEBA Yuya,27,20,2
193,KERRY Danny,AIKMAN Siegfried Gottlieb,27,56,0
194,KIM Chanbin,ABDELMAGID Wael,17,112,2
195,KIM Hagbum,ABDELMAGID Wael,17,112,3
196,KIRALY Karch,ABE Junya,37,12,3
197,KIRKELY Ulrik,ABE Junya,6,25,14
198,KIRKPATRICK Andrew,ALAMEDA Lonni,11,11,0
199,KITABAYASHI Kenji,ABE Junya,6,25,0
200,KLARENBEEK Auke,AGEBA Yuya,6,10,2
201,KNEZEVIC Nemanja,BIRO Attila,32,23,0
202,KOFFI Anthony,ABDELMAGID Wael,17,70,0
203,KONSTANTINOV Aleksei,ABE Junya,37,33,0
204,KONTIC Svetlana,ALEKNO Vladimir,13,86,3
205,KRIKORIAN Adam,AGEBA Yuya,32,12,2
206,KRIST JANSSON Aron,ALEKNO Vladimir,6,24,3
207,KRUMBHOLZ Olivier,ALEKSEEV Alexey,6,5,8
208,KULESZA Katarzyna,AGEBA Yuya,13,27,2
209,KUNTZ Stefan,ABDELMAGID Wael,17,20,3
210,KUZIN Andrey,ALEKNO Vladimir,36,33,3
211,KWIEK Marcos,ABE Junya,37,100,2
212,LAIDLAW Clark,AGEBA Yuya,36,113,2
213,LAMAS Julio,ABE Junya,5,25,3
214,LANG Ping,ABE Junya,37,72,3
215,LAVARINI Stefano,ABE Junya,37,112,0
216,LAZARO CORRAL Jesus,ABE Katsuhiko,5,3,3
217,LETELIER Jose,ABDELMAGID Wael,17,6,3
218,LOCK Adrian Mayner,AIKMAN Siegfried Gottlieb,27,3,7
219,LOFTUS Adriana,BASSO Paola,13,47,0
220,LOPES BARBOSA Leonard,ABE Junya,37,64,0
221,LOPEZ GUILLEN Melvyn,ABE Katsuhiko,5,100,0
222,LOPEZ Monica Susana,BASSO Paola,13,85,0
223,LOUCKS Luke,ABE Katsuhiko,5,45,2
224,LOZANO Jaime,ABDELMAGID Wael,17,47,0
225,MACEK Anze,ABE Katsuhiko,5,133,3
226,MACKINTOSH Euan Michael Gordon,BABER Gareth Colin,36,72,0
227,MAEDA Kenzo,ABE Junya,5,25,0
228,MAHLANGU Sibusiso,ABDELMAGID Wael,17,37,3
229,MAKIRI Hare,ABE Junya,36,25,3
230,MALJKOVIC Marina,ABE Katsuhiko,5,86,3
231,MANENTI John,ARNOLD Graham,36,11,0
232,MANZANILLO Andres,ABE Junya,37,104,2
233,MARCZ Tamas,ALEKNO Vladimir,32,57,3
234,MARIJNE Sjoerd,AIKMAN Siegfried Gottlieb,27,43,0
235,MARINELLI Fernando,ABDELMAGID Wael,17,6,2
236,MARTIN LOZANO David,AGEBA Yuya,32,3,2
237,MARTIN Paul,BIRO Attila,32,37,0
238,MASHA Mario,ABDELMAGID Wael,17,37,0
239,MATSUNO Yoshiyuki,ABE Junya,5,25,0
240,MATSUODANI Yasushi,ABDELMAGID Wael,17,25,0
241,MAYBURY Elena,ABDELMAGID Wael,17,12,3
242,MAYONNADE Emmanuel,ALEKNO Vladimir,6,10,3
243,MAZZANTI Davide,ABE Junya,37,4,0
244,McCRORIE Christy,AGEBA Yuya,27,37,2
245,McLEOD Shane,AIKMAN Siegfried Gottlieb,27,15,0
246,MEDINA Bobby,ABE Katsuhiko,5,45,2
247,MENDEZ Marcelo Rodolfo,ABE Junya,37,85,0
248,MENGUAL CIVIL Gemma,ALEKNO Vladimir,13,3,3
249,MENTOOR Delaine,BIRO Attila,32,37,0
250,MERCEDES del ROSARIO Jose,ABE Katsuhiko,5,100,3
251,MESTDAGH Philip,ABE Katsuhiko,5,15,8
252,MEZHENINA Valeriia,BASSO Paola,13,87,0
253,MEZIANE Rachid,ABE Katsuhiko,5,5,3
254,MIHAILOVIC Predrag,ARNOLD Graham,32,11,0
255,MIREJOVSKY Michal,ABE Katsuhiko,5,120,0
256,MIRET GARCIA Daniel,ABE Katsuhiko,5,3,3
257,MIURA Keiko,ABE Junya,27,25,0
258,MIYAKAWA Miya,ABE Junya,13,25,7
259,MLADENOVA Albena,BASSO Paola,13,31,0
260,MOHAMED Mai,ABDELMAGID Wael,13,14,0
261,MOHAMED Sayeda,ABDELMAGID Wael,17,19,0
262,MOHAMMED Silifat,ABE Katsuhiko,5,45,3
263,MONDELO GARCIA Lucas,ABE Katsuhiko,5,3,7
264,MONTICO Loredana,ARNOLD Graham,13,11,8
265,MONTICO Loredana,AGEBA Yuya,13,11,2
266,MORIYASU Hajime,ABDELMAGID Wael,17,25,3
267,MOTOMIYA Makihiro,ABE Junya,32,25,0
268,MULATI Adilijiang,ABE Katsuhiko,5,72,15
269,MUNOZ Noe de Jesus,ALAMEDA Lonni,11,47,3
270,MWAPE Bruce,ABDELMAGID Wael,17,137,0
271,NAGAE Shoji,ABE Junya,37,25,3
272,NAIDOO Taren,AIKMAN Siegfried Gottlieb,27,37,3
273,NAKADA Kumi,ABE Junya,37,25,2
274,NAKAGAICHI Yuichi,ABE Junya,37,25,0
275,NCUBE Mthandazo,ABDELMAGID Wael,17,37,0
276,NEVES Christophe,ABDELMAGID Wael,17,70,0
277,NISHIDA Takumi,ABE Junya,36,25,2
278,NOTOANE David,ABDELMAGID Wael,17,37,3
279,OCA GAIA Miguel Angel,ALLER CARBALLO Manuel Angel,32,3,0
280,ODAUDU Ogoh,ABE Katsuhiko,5,45,3
281,OLOO Felix,AGEBA Yuya,36,64,2
282,OMOTO Yoji,ABE Junya,32,25,0
283,PAGAN CRISTOBAL Angel,ABE Katsuhiko,5,59,14
284,PALERMI Giovanna,ALAMEDA Lonni,11,4,0
285,PANTOJA Hernan,ABE Junya,37,104,3
286,PARADELO David,AGEBA Yuya,32,27,2
287,PARRONDO Roberto,ABDELMAGID Wael,6,14,2
288,PAUL Henry,ALAMEDA Lonni,36,27,0
289,PECCI Isabella,BASILIO Mel,13,108,7
290,PEDRERO Ofelia,AGEBA Yuya,13,47,2
291,PEREIRA Paulo Jorge,ALEKSEEV Alexey,6,40,0
292,PEREZ Jose,ABE Katsuhiko,5,104,0
293,PIBIRI Rossella,BASSO Paola,13,4,0
294,PISKAREVA Ekaterina,AL SAADI Kais,13,33,14
295,PIZZOLINI Federico,AGEBA Yuya,11,4,2
296,POPOVICH Gregg,ABE Katsuhiko,5,12,3
297,POROBIC Petar,AGEBA Yuya,32,72,2
298,POTTER Anthony,AIKMAN Siegfried Gottlieb,27,11,3
299,POWELL Katrina,AGEBA Yuya,27,11,2
300,POWELL Neil,BABER Gareth Colin,36,37,0
301,PRADO BRANAS Joaquin,ABE Katsuhiko,5,3,3
302,PRIESTMAN Bev,ABDELMAGID Wael,17,27,2
303,RADOI Mirel,ABDELMAGID Wael,17,50,3
304,RECKINGER Xavier,AGEBA Yuya,27,20,2
305,REID Graham John,AIKMAN Siegfried Gottlieb,27,43,7
306,REQUENA PERICAS Judit,ALLER CARBALLO Manuel Angel,13,3,8
307,REQUENA PERICAS Judit,AGEBA Yuya,13,3,2
308,RETEGUI Carlos Jose,AIKMAN Siegfried Gottlieb,27,85,3
309,RETEGUI Carlos Jose,AGEBA Yuya,27,85,2
310,RIBERA ROMANS Jordi,ALEKNO Vladimir,6,3,3
311,RIISE Hege,ABDELMAGID Wael,17,56,0
312,RILLIE John,ABE Katsuhiko,5,11,2
313,RIPOLL Sylvain,ABDELMAGID Wael,17,5,0
314,RODRIGUEZ Eduardo Rafael,ABE Junya,37,85,2
315,ROEDL Henrik,ABE Katsuhiko,5,20,2
316,ROQUES Anthony,AGEBA Yuya,36,56,2
317,SACCHETTI Romeo,ABE Katsuhiko,5,4,0
318,SALAM Mohamed,ABDELMAGID Wael,17,14,2
